Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),CO2 emissions (metric tons per capita),Control of Corruption: Estimate,Government Effectiveness: Estimate,Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,ESG_Proxy,E_Score,S_Score,G_Score,ESG_Final
Singapore,,1.0,,,,0.9227106915019596,1.0,1.0,,0.9488231783641773,0.9743067739732274,1.0,1.0,1.0,1.0000000000000002
Denmark,,1.0,,,,1.0,0.9350269679516892,0.9000896001605527,,0.986094928069803,0.9642422992364089,1.0,1.0,0.9867452978360112,0.9957341512293599
Finland,,1.0,,,,0.9644384700926425,0.8753884779516867,0.8842489732722469,,1.0,0.9448151842633152,1.0,1.0,0.9611601948269172,0.9874999277162456
Switzerland,,1.0,,,,0.9185260300448743,0.9607038124973284,0.8766302427761132,,0.9508691661215685,0.9413458502879768,1.0,1.0,0.9565911547375926,0.9860294432189777
Luxembourg,,1.0,,,,0.8965866367239499,0.9131910850375949,0.9191619825564059,,0.9486459497557909,0.9355171308147483,1.0,1.0,0.9489148534267595,0.9835589282194896
Norway,,1.0,,,,0.939586936886298,0.8885906335812176,0.8485453101115688,,0.9681591818125624,0.9289764124783293,1.0,1.0,0.9403008645445956,0.9807866310053643
New Zealand,,1.0,,,,0.9328154805864748,0.8304770573145137,0.9151502374399179,,0.9374647728545689,0.9231815096390952,1.0,1.0,0.9326690990315567,0.9783304492572705
Sweden,,1.0,,,,0.9199635833009228,0.8458486281062791,0.87420998724909,,0.9131327939190147,0.9106309985150614,1.0,1.0,0.9161403390808428,0.973010888738776
Netherlands,,1.0,,,,0.8828811613314751,0.8510470588434569,0.8897479012848367,,0.9223408655824705,0.9092033974084479,1.0,1.0,0.9142602183619821,0.9724057970092164
Australia,,1.0,,,,0.8631151058142237,0.8433722439576607,0.9219612512314057,,0.8937888033451922,0.9044474808696965,1.0,1.0,0.9079967760178598,0.9703899917883158
Liechtenstein,,1.0,,,,0.8467692880643959,0.8515395128518708,0.853594891592387,,0.9391315433063233,0.8982070471629953,1.0,1.0,0.8997782556956966,0.9677449708456325
Ireland,,1.0,,,,0.8157302462752255,0.8436447488620562,0.8808867328335384,,0.9202061922072633,0.8920935840356167,1.0,1.0,0.891726952963772,0.9651537666498609
Canada,,1.0,,,,0.8378703330474363,0.827641199703163,0.8585959506557217,,0.8817817006227415,0.8811778368058125,1.0,1.0,0.877351142778751,0.9605271042438704
Iceland,,1.0,,,,0.8102113958218564,0.8358897915130916,0.7818605785141708,,0.9411521148895516,0.8738227761477342,1.0,1.0,0.8676646821367208,0.9574096463251311
Monaco,,1.0,,,,0.7411876893605538,0.9365992280969481,0.7959400270029406,,0.8827133132287875,0.871288051537846,1.0,1.0,0.8643265029817875,0.9563352979717643
Japan,,1.0,,,,0.774394664824105,0.8522812219818949,0.8212397322781326,,0.8967453234025612,0.8689321884973389,1.0,1.0,0.861223880762782,0.9553367604705097
Germany,,1.0,,,,0.836182461619847,0.7563040913510145,0.8186090352042192,,0.9004945941851386,0.8623180364720439,1.0,1.0,0.8525131812523631,0.952533338233012
Estonia,,1.0,,,,0.8071775670149064,0.7731064989404415,0.8127875384884848,,0.8706268527100192,0.8527396914307703,1.0,1.0,0.8398987017026701,0.9484735365555724
Austria,,1.0,,,,0.7141022207789267,0.7867139603859634,0.7982454893068109,,0.9472414993237898,0.8492606339590981,1.0,1.0,0.8353168559725874,0.9469989307339466
United Kingdom,,1.0,,,,0.7940129160336016,0.7510786641773146,0.8355617674632065,,0.8639212615482071,0.8489149218444659,1.0,1.0,0.8348615603676247,0.9468523999275444
Andorra,,1.0,,,,0.7411876893605538,0.8187367125310114,0.7959400270029406,,0.8827133132287875,0.8477155484246588,1.0,1.0,0.8332820107260727,0.9463440429827249
United States,,1.0,,,,0.7117502723873202,0.7631462509366005,0.8051386941319969,,0.847006384023788,0.825408320295941,1.0,1.0,0.8039038590905335,0.9368890774551986
San Marino,,1.0,,,,0.7411876893605538,0.7598054419170392,0.7066379962064657,,0.8827133132287875,0.8180688881425693,1.0,1.0,0.7942379808614529,0.9337782437110271
Belgium,,1.0,,,,0.7608600367272307,0.7243593773841619,0.7571063759167532,,0.8392766437026348,0.8163204867461561,1.0,1.0,0.7919353728885021,0.9330371801043799
France,,1.0,,,,0.7258769955433215,0.7475231924281873,0.7539712082041319,,0.8118053251135163,0.8078353442578313,1.0,1.0,0.7807606181752418,0.9294407346266929
"Korea, Rep.",,1.0,,,,0.6589742178044065,0.80353199614064,0.7473721086441039,,0.8280605516530677,0.8075877748484436,1.0,1.0,0.7804345744549128,0.9293358018121844
United Arab Emirates,,1.0,,,,0.7002976056744568,0.8464725999256932,0.7303043546419455,,0.7403367691569852,0.8034822658798161,1.0,1.0,0.7750277052407978,0.927595673206903
Brunei Darussalam,,1.0,,,,0.74732721915083,0.8028818234070714,0.7163531566663679,,0.7415221298856643,0.8016168658219867,1.0,1.0,0.7725710124843675,0.9268050194717076
Lithuania,,1.0,,,,0.6330761077518646,0.7271792219000852,0.7932768039129127,,0.8325337983057429,0.7972131863741211,1.0,1.0,0.7667714590020973,0.9249385106821084
Czechia,,1.0,,,,0.6299152956226066,0.740932777179369,0.7861300180393701,,0.802619702977633,0.7919195587637957,1.0,1.0,0.7597998624531739,0.9226947954933642
Israel,,1.0,,,,0.6440789149912911,0.7476832463964252,0.7472176291108915,,0.7168736183164416,0.77117068176301,1.0,1.0,0.732474026572583,0.9139003403667426
Uruguay,,1.0,,,,0.8154215251023449,0.6841531764464,0.6520750709592744,,0.7010365605817621,0.7705372666179563,1.0,1.0,0.7316398321100412,0.9136318660262045
Qatar,,1.0,,,,0.6148195873955522,0.7588864339467782,0.7163849463401981,,0.7525368893232876,0.7685255714011632,1.0,1.0,0.7289904716972451,0.9127792047804004
Latvia,,1.0,,,,0.6138770606123307,0.6510688253619514,0.7579578922918112,,0.7781350273189642,0.7602077611170116,1.0,1.0,0.7180360899877187,0.9092536834091498
Slovenia,,1.0,,,,0.6319488941642706,0.724848469669017,0.6640690330541001,,0.777883033511383,0.7597498860797541,1.0,1.0,0.717433078165853,0.9090596121122497
Portugal,,1.0,,,,0.6134624102756808,0.7137096167825047,0.6691670480835064,,0.78478824575826,0.7562254641799904,1.0,1.0,0.7127914884353217,0.9075657784824307
Chile,,1.0,,,,0.6761214651850909,0.6555883419122298,0.7054562937942745,,0.6788858798661601,0.743210396151551,1.0,1.0,0.6956509167838347,0.9020493145436015
Mauritius,,1.0,,,,0.5575174922338278,0.6539914462355448,0.7350088455021333,,0.7219996841091894,0.7337034936161391,1.0,1.0,0.6831305255161242,0.8980197939224289
Seychelles,,1.0,,,,0.8280550626459289,0.6356089259252172,0.5532372266576825,,0.6329044693871599,0.7299611369231978,1.0,1.0,0.6782019202333384,0.8964335881724678
Spain,,1.0,,,,0.5980575831098855,0.6630172120759478,0.6560481454102334,,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654
Barbados,,1.0,,,,0.7626414791447523,0.5830186165578592,0.6154390334232869,,0.628420261831094,0.7179038781913984,1.0,1.0,0.6623227633390886,0.8913230937171361
Georgia,,1.0,,,,0.5953712096410989,0.6714601166400035,0.7098965012518578,,0.5717289041546947,0.709691346337531,1.0,1.0,0.6515070311144284,0.8878421948298347
Cyprus,,1.0,,,,0.5297906604904882,0.6599333567815694,0.674045023725202,,0.6795909576269592,0.7086719997248437,1.0,1.0,0.6501645730024702,0.887410142625592
Bhutan,,1.0,,,,0.8056358813994979,0.6230288816192404,0.4228610488083718,,0.6890794629696472,0.7081210549593514,1.0,1.0,0.6494389903003056,0.8871766235287665
Palau,,1.0,,,,0.588679772859783,0.5963352889155048,0.5937661757261055,,0.7531549074168079,0.7063872289836401,1.0,1.0,0.6471555778507548,0.8864417377448186
Malaysia,,1.0,,,,0.5212565184909287,0.6895607140875674,0.6490469521802558,,0.6661609057194868,0.7052050180956477,1.0,1.0,0.6455986309036837,0.8859406551751806
Bahrain,,1.0,,,,0.49414028134829857,0.6512061171256313,0.7378857094193265,,0.6414794615205545,0.7049423138827622,1.0,1.0,0.6452526549645435,0.8858293074423993
