Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Afghanistan,AFG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.3
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.15493178367615
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.98701369762421
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.64964091777802
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.26642525196075
Albania,ALB,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Albania,ALB,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.332218527793884
Albania,ALB,Government Effectiveness: Estimate,GE.EST,0.250855356454849
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.164097368717194
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.171953663229942
Algeria,DZA,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Algeria,DZA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Algeria,DZA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.589308321475983
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.670135140419006
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.678364396095276
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-0.948087155818939
Andorra,AND,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Andorra,AND,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Andorra,AND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.25135612487793
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.4754387140274
Andorra,AND,Rule of Law: Estimate,RL.EST,1.47689890861511
Andorra,AND,Regulatory Quality: Estimate,RQ.EST,1.35054576396942
Angola,AGO,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Angola,AGO,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.1
Angola,AGO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Angola,AGO,Control of Corruption: Estimate,CC.EST,-0.60992020368576
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.00890958309174
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.09906601905823
Angola,AGO,Regulatory Quality: Estimate,RQ.EST,-0.761388182640076
Antigua and Barbuda,ATG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Antigua and Barbuda,ATG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Antigua and Barbuda,ATG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.326792687177658
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,0.380410820245743
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.378593176603317
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.546036779880524
Argentina,ARG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Argentina,ARG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Argentina,ARG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.360883951187134
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.377517342567444
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.410826534032822
Argentina,ARG,Regulatory Quality: Estimate,RQ.EST,-0.482535392045975
Armenia,ARM,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Armenia,ARM,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Armenia,ARM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Armenia,ARM,Control of Corruption: Estimate,CC.EST,0.0583996474742889
Armenia,ARM,Government Effectiveness: Estimate,GE.EST,-0.184129968285561
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.122017979621887
Armenia,ARM,Regulatory Quality: Estimate,RQ.EST,0.047635018825531
Australia,AUS,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Australia,AUS,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Australia,AUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Australia,AUS,Control of Corruption: Estimate,CC.EST,1.78120493888855
Australia,AUS,Government Effectiveness: Estimate,GE.EST,1.58987963199615
Australia,AUS,Rule of Law: Estimate,RL.EST,1.52318394184113
Australia,AUS,Regulatory Quality: Estimate,RQ.EST,1.94220554828644
Austria,AUT,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Austria,AUT,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Austria,AUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Austria,AUT,Control of Corruption: Estimate,CC.EST,1.1336532831192
Austria,AUT,Government Effectiveness: Estimate,GE.EST,1.32668149471283
Austria,AUT,Rule of Law: Estimate,RL.EST,1.74656546115875
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,1.36136972904205
