Country Name,Temperature
Aruba (Neth.),26.69
Afghanistan,26.75
Angola,26.79
Anguilla (U.K.),26.76
ALA,26.79
Albania,26.8
Andorra,26.77
United Arab Emirates,26.77
Argentina,26.87
Armenia,26.81
American Samoa (U.S.),26.88
French Southern and Antarctic Lands (Fr.),26.95
Antigua and Barbuda,26.72
Australia,26.78
Austria,26.9
Azerbaijan,
Burundi,26.88
Belgium,26.86
Benin,27.01
"Bonaire, Sint Eustatius and Saba",26.7
Burkina Faso,27.1
Bangladesh,26.79
Bulgaria,26.95
Bahrain,
The Bahamas,26.83
Bosnia and Herzegovina,26.82
Saint-Barthélemy (Fr.),26.74
Belarus,26.84
Belize,26.63
Bermuda (U.K.),26.97
Bolivia,26.89
Brazil,26.84
Barbados,26.7
Brunei Darussalam,26.9
Bhutan,27.02
Bouvet Island (Nor.),27.05
Botswana,26.82
Central African Republic,27.05
Canada,26.92
Cocos (Keeling) Islands (Aus.),26.78
Switzerland,26.98
Chile,26.8
China,26.91
Côte d'Ivoire,26.91
Cameroon,27.07
Democratic Republic of Congo,26.95
Congo,26.98
Cook Islands (N.Z.),26.94
Colombia,26.84
Comoros,26.75
Cabo Verde,27.01
Costa Rica,26.84
Cuba,26.74
Curaçao (Neth.),26.68
Christmas Island (Aus.),26.74
Cayman Islands (U.K.),26.67
Cyprus,26.76
Czech Republic,26.89
Germany,26.91
Djibouti,26.76
Dominica,26.72
Denmark,26.79
Dominican Republic,26.74
Algeria,26.81
Ecuador,26.97
Arab Republic of Egypt,26.79
Eritrea,26.77
Spain,26.82
Estonia,26.84
Ethiopia,26.92
Finland,26.86
Fiji,
France,26.84
Faroe Islands (Den.),26.81
Federated States of Micronesia,26.97
Gabon,26.99
United Kingdom,26.82
Georgia,26.93
Guernsey (U.K.),26.77
Ghana,26.94
Gibraltar (U.K.),26.88
Guinea,26.89
GLP,26.72
The Gambia,26.92
Guinea-Bissau,26.87
Equatorial Guinea,27.03
Greece,
Grenada,26.7
Greenland (Den.),26.99
Guatemala,26.7
GUF,26.74
Guam (U.S.),26.99
Guyana,26.7
HKG,26.81
Heard Island and McDonald Islands (Aus.),27.05
Honduras,26.65
Croatia,26.81
Haiti,26.74
Hungary,26.84
Indonesia,26.83
Isle of Man (U.K.),26.84
India,26.94
British Indian Ocean Territory (U.K.),26.76
Ireland,26.83
Islamic Republic of Iran,26.83
Iraq,26.78
Iceland,26.89
Israel,26.78
Italy,26.87
Jamaica,26.69
Jersey (U.K.),26.75
Jordan,26.78
Japan,
Kazakhstan,27.03
Kenya,26.91
Kyrgyz Republic,26.9
Cambodia,26.95
Kiribati,26.94
Saint Kitts and Nevis,26.75
Republic of Korea,26.96
Kosovo,26.9
Kuwait,26.83
Lao People's Democratic Republic,26.88
Lebanon,26.75
Liberia,26.84
Libya,26.74
Latin America & Caribbean,26.7
Liechtenstein,27.0
Sri Lanka,26.95
Lesotho,26.82
Lithuania,
Luxembourg,26.9
Latvia,26.87
MAC,26.82
Saint-Martin (Fr.),26.75
Morocco,
Monaco,
Moldova,26.8
Madagascar,26.88
Maldives,26.95
Mexico,26.95
Marshall Islands,26.91
North Macedonia,26.9
Mali,26.99
Malta,26.9
Myanmar,26.84
Montenegro,26.82
Mongolia,26.89
Northern Mariana Islands (U.S.),26.98
Mozambique,26.86
Mauritania,26.91
Montserrat (U.K.),26.74
MTQ,26.72
Mauritius,26.96
Malawi,26.89
Malaysia,26.94
MYT,26.69
Namibia,26.81
New Caledonia (Fr.),26.87
Niger,26.99
Norfolk Island (Aus.),26.79
Nigeria,27.09
Nicaragua,26.7
Niue (N.Z.),26.98
Netherlands,26.87
Norway,26.88
Nepal,27.06
Nauru,26.88
New Zealand,26.81
Oman,26.78
Pakistan,26.84
Panama,26.97
Pitcairn Islands (U.K.),26.76
Peru,26.9
Philippines,26.9
Palau,27.0
Papua New Guinea,26.89
Poland,26.83
Puerto Rico (U.S.),26.77
D. P. R. of Korea,26.93
Portugal,26.81
Paraguay,27.0
West Bank and Gaza,26.78
French Polynesia (Fr.),26.78
Qatar,26.83
REU,26.99
Romania,26.92
Russian Federation,26.99
Rwanda,26.96
Saudi Arabia,26.77
Sudan,26.94
Senegal,26.98
Singapore,
"Saint Helena, Ascension and Tristan da Cunha (U.K.)",
Svalbard and Jan Mayen (Nor.),26.95
Solomon Islands,26.95
Sierra Leone,26.82
El Salvador,26.68
San Marino,26.83
Somalia,
Saint-Pierre-et-Miquelon (Fr.),26.75
Serbia,26.92
South Sudan,27.03
São Tomé and Príncipe,26.92
Suriname,26.72
Slovak Republic,26.8
Slovenia,26.76
Sweden,
Eswatini,26.83
Sint Maarten (Neth.),26.75
Seychelles,26.91
Syrian Arab Republic,26.72
Turks and Caicos Islands (U.K.),26.69
Chad,27.02
Togo,26.94
Thailand,26.86
Tajikistan,26.8
Tokelau (N.Z.),26.91
Turkmenistan,26.87
Timor-Leste,26.77
Tonga,26.83
Trinidad and Tobago,26.73
Tunisia,26.86
Türkiye,26.88
Tuvalu,26.88
TWN,26.83
Tanzania,26.89
Uganda,26.98
Ukraine,26.87
U.S. Minor Outlying Islands,26.88
Uruguay,26.77
United States of America,26.87
Uzbekistan,26.89
Vatican City,26.84
Saint Vincent and the Grenadines,26.7
R. B. de Venezuela,26.72
British Virgin Islands (U.K.),26.79
United States Virgin Islands (U.S.),26.8
Vietnam,26.92
Vanuatu,26.94
Wallis and Futuna (Fr.),26.93
Samoa,26.88
Republic of Yemen,26.77
South Africa,26.83
Zambia,26.84
Zimbabwe,26.87
