Country Name,Access to electricity (% of population),Control of Corruption: Estimate,Government Effectiveness: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,E_Score,S_Score,G_Score,ESG_Final,Temperature,GDP_2020,POP_2020,SDI_2019,Economic_Index,Sustainability_Index,Climate_Risk_Index
singapore,1.0,0.9227106915019596,1.0,1.0,0.9488231783641772,100.0,100.0,100.0,100.00000000000003,26.72,108000.0,5870000.0,7.9,47.700367427079684,100.0,43.40425531914874
singapore,1.0,0.9227106915019596,1.0,1.0,0.9488231783641772,100.0,100.0,100.0,100.00000000000003,26.99,108000.0,5870000.0,7.9,47.700367427079684,100.0,83.61702127659547
singapore,1.0,0.9227106915019596,1.0,1.0,0.9488231783641772,100.0,100.0,100.0,100.00000000000003,26.84,108000.0,5870000.0,7.9,47.700367427079684,100.0,61.2765957446809
denmark,1.0,1.0,0.9350269679516892,0.9000896001605527,0.986094928069803,100.0,100.0,98.67452978360112,99.573415122936,26.79,61600.0,6000000.0,35.5,27.13508817806695,99.5581765945337,43.13211281543806
finland,1.0,0.9644384700926424,0.8753884779516867,0.8842489732722469,1.0,100.0,100.0,96.11601948269171,98.74999277162456,26.94,49300.0,5620000.0,22.3,21.6835163081778,98.70533982756392,70.58881741712057
finland,1.0,0.9644384700926424,0.8753884779516867,0.8842489732722469,1.0,100.0,100.0,96.11601948269171,98.74999277162456,26.86,49300.0,5620000.0,22.3,21.6835163081778,98.70533982756392,58.67392380009897
finland,1.0,0.9644384700926424,0.8753884779516867,0.8842489732722469,1.0,100.0,100.0,96.11601948269171,98.74999277162456,26.81,49300.0,5620000.0,22.3,21.6835163081778,98.70533982756392,51.22711528946078
finland,1.0,0.9644384700926424,0.8753884779516867,0.8842489732722469,1.0,100.0,100.0,96.11601948269171,98.74999277162456,26.79,49300.0,5620000.0,22.3,21.6835163081778,98.70533982756392,48.2483918852055
switzerland,1.0,0.9185260300448744,0.9607038124973284,0.8766302427761132,0.9508691661215684,100.0,100.0,95.65911547375926,98.60294432189775,26.98,72100.0,8970000.0,25.7,31.78886904260647,98.55303849125308,75.22843476826678
luxembourg,1.0,0.8965866367239499,0.9131910850375948,0.919161982556406,0.9486459497557908,100.0,100.0,94.89148534267596,98.35589282194897,26.9,111000.0,680000.0,58.3,49.0300191026624,98.297161780892,50.6778822365165
norway,1.0,0.939586936886298,0.8885906335812176,0.8485453101115688,0.9681591818125624,100.0,100.0,94.03008645445956,98.07866310053645,26.88,68400.0,5620000.0,19.7,30.148965309387783,98.01002881815319,62.66039914233874
new zealand,1.0,0.9328154805864748,0.8304770573145137,0.915150237439918,0.9374647728545688,100.0,100.0,93.26690990315568,97.83304492572704,26.79,44800.0,5250000.0,43.6,19.68903879480372,97.75563663438524,39.99257793171712
